model,f1,precision,recall,roc_auc,timestamp
RandomForest,0.7650075414781297,0.8573360378634213,0.690631808278867,0.985761139867066,2026-05-28 15:32:08
XGBoost,0.7692307692307693,0.8579088471849866,0.6971677559912854,0.9866217171932923,2026-05-28 15:33:13
